Term,Category Code,Category Name,Tweet,Example Tweet Tokens,Example Tweet Tags
{Number} child,C01,Children's well being and education,Help children recover from trauma #Philippines Give $30 for 1 child and share for many more! http://t.co/Hk1yaH2eaQ #DT @operationSAFE,Help children recover from trauma #Philippines Give $30 for 1 child and share for many more ! http://t.co/Hk1yaH2eaQ #DT @operationSAFE,"V N V P N N V $ P $ N & V P A A , U # @"
{Number} families,C01,Children's well being and education,Text GIVE 12696 to 80088 to donate $10 to help 5000 Families affected by Typhoon #Bopha in the #Philippines: http://t.co/8dccO6lI,Text GIVE 12696 to 80088 to donate $10 to help 5000 Families affected by Typhoon #Bopha in the #Philippines : http://t.co/8dccO6lI,"N V $ P $ P V $ P V $ N V P ^ ^ P D ^ , U"
{Number} million children effected,C01,Children's well being and education,RT @VanessaHudgens: Last Estimate : 4 million children effected. #Philippines,RT @VanessaHudgens : Last Estimate : 4 million children effected . #Philippines,"~ @ ~ A N , $ $ N V , #"
{Number} schools next to fertilizer plant,C01,Children's well being and education,"RT @markos: The wonder of libertarian zoning laws, West, Texas edition http://t.co/B79tF0geJE. TWO schools next to fertilizer plant","RT @markos : The wonder of libertarian zoning laws , West , Texas edition http://t.co/B79tF0geJE . TWO schools next to fertilizer plant","~ @ ~ D N P A N N , ^ , ^ N U , $ N R P N N"
@savethechildren,C01,Children's well being and education,"RT @SavetheChildren: Large #earthquake strikes #Philippines, our aid workers are ready to respond if needed: http://t.co/E8JSI1rzSn","RT @SavetheChildren : Large #earthquake strikes #Philippines , our aid workers are ready to respond if needed : http://t.co/E8JSI1rzSn","~ @ ~ A N V ^ , D N N V A P V P V , U"
adoption,C01,Children's well being and education,RT @wfaachannel8: 70 animals coming to North Texas for adoption following explosion http://t.co/LiYVUbpIWH,RT @wfaachannel8 : 70 animals coming to North Texas for adoption following explosion http://t.co/LiYVUbpIWH,~ @ ~ $ N V P ^ ^ P N V N U
affected families,C01,Children's well being and education,RT @WorldVisionPH: Bring urgent help to #MaringPH affected families. You can donate online http://t.co/U6W3SAYzXX #reliefPH http://t.co/G4O...,RT @WorldVisionPH : Bring urgent help to #MaringPH affected families . You can donate online http://t.co/U6W3SAYzXX #reliefPH http://t.co/G4O ...,"~ @ ~ V A N P ^ V N , O V V A U # U ,"
at least {Number} of the injured are children,C01,Children's well being and education,RT @cnnbrk: Injuries in #Boston Marathon terror attack now at 183; 23 critical; at least 9 of the injured are children. http://t.co/9YZV ...,RT @cnnbrk : Injuries in #Boston Marathon terror attack now at 183 ; 23 critical ; at least 9 of the injured are children . http://t.co/9YZV ...,"~ @ ~ N P ^ ^ N N R P $ , $ A , P A $ P D A V N , U ~"
authorities advising children,C01,Children's well being and education,"RT @ChannelNewsAsia: #SGHAZE: 10am PSI is 121 in #Singapore, in unhealthy range. Authorities advising children, older adults to stay indoors","RT @ChannelNewsAsia : #SGHAZE : 10am PSI is 121 in #Singapore , in unhealthy range . Authorities advising children , older adults to stay indoors","~ @ ~ # , $ N V $ P ^ , P A N , ^ V N , A N P V N"
babies,C01,Children's well being and education,They are illegal in Colorado Springs! =) RT @KennyKingz: This is America..if we want to give our babies sparklers to play with we will,They are illegal in Colorado Springs ! =) RT @KennyKingz : This is America .. if we want to give our babies sparklers to play with we will,"O V A P ^ ^ , E ~ @ ~ O V ^ , P O V P V D N N P V P O V"
babies born {Number} months,C01,Children's well being and education,Would it be considered good form to name any babies born nine months from now Stormageddon? #stormTO #doctorwho,Would it be considered good form to name any babies born nine months from now Stormageddon ? #stormTO #doctorwho,"V O V V A N P V D N V $ N P R ^ , # #"
babies rescued,C01,Children's well being and education,RT @MaeAbi: #earthquake aftermath. Babies rescued from the ICU. Picture by Ann Guevarra. #PrayForVisayas http://t.co/PmLaZ6sNCa,RT @MaeAbi : #earthquake aftermath . Babies rescued from the ICU . Picture by Ann Guevarra . #PrayForVisayas http://t.co/PmLaZ6sNCa,"~ @ ~ ^ N , N V P D ^ , N P ^ ^ , # U"
